Epoch 1/20 0.3s train_loss=0.7020 train_accuracy=0.3300
Epoch 2/20 0.0s train_loss=0.6911 train_accuracy=0.5900
Epoch 3/20 0.0s train_loss=0.6802 train_accuracy=0.6200
Epoch 4/20 0.0s train_loss=0.6781 train_accuracy=0.6600
Epoch 5/20 0.0s train_loss=0.6697 train_accuracy=0.6900
Epoch 6/20 0.0s train_loss=0.6541 train_accuracy=0.6700
Epoch 7/20 0.0s train_loss=0.6540 train_accuracy=0.6700
Epoch 8/20 0.0s train_loss=0.6495 train_accuracy=0.6600
Epoch 9/20 0.0s train_loss=0.6405 train_accuracy=0.6700
Epoch 10/20 0.0s train_loss=0.6326 train_accuracy=0.6700
Epoch 11/20 0.0s train_loss=0.6343 train_accuracy=0.6700
Epoch 12/20 0.0s train_loss=0.6261 train_accuracy=0.6700
Epoch 13/20 0.0s train_loss=0.6378 train_accuracy=0.6700
Epoch 14/20 0.0s train_loss=0.6282 train_accuracy=0.6600
Epoch 15/20 0.0s train_loss=0.6307 train_accuracy=0.6600
Epoch 16/20 0.0s train_loss=0.6118 train_accuracy=0.6600
Epoch 17/20 0.0s train_loss=0.6100 train_accuracy=0.6700
Epoch 18/20 0.0s train_loss=0.6061 train_accuracy=0.6700
Epoch 19/20 0.0s train_loss=0.6115 train_accuracy=0.6800
Epoch 20/20 0.0s train_loss=0.6090 train_accuracy=0.6800
